"kode";"jenis";"nama"
"1101102008";"Kelurahan/Desa";"Mata Ie"
"1101102009";"Kelurahan/Desa";"Ujong Batee"
"1101102010";"Kelurahan/Desa";"Lhok Sialang Cut"
"1101102011";"Kelurahan/Desa";"Seuneubok"
"1101102012";"Kelurahan/Desa";"Ie Mirah"
"1101102013";"Kelurahan/Desa";"Pasie Rasian"
"1101102014";"Kelurahan/Desa";"Ujung Padang Rasian"
"1101102015";"Kelurahan/Desa";"Krueng Kalee"
"1101102016";"Kelurahan/Desa";"Lhok Sialang Rayeuk"
"1101102017";"Kelurahan/Desa";"Gampong Baro"
"1101102018";"Kelurahan/Desa";"Teupin Gajah"
"1101102019";"Kelurahan/Desa";"Ujung Padang Asahan"
"1101102020";"Kelurahan/Desa";"Pulo Ie II"
"1101102021";"Kelurahan/Desa";"Pante Raja"
"1101110000";"Kecamatan";"Labuhan Haji Timur"
"1101112001";"Kelurahan/Desa";"Tengah Peulumat"
"1101112002";"Kelurahan/Desa";"Paya Peulumat"
"1101112003";"Kelurahan/Desa";"Padang Peulumat"
"1101112004";"Kelurahan/Desa";"Aur Peulumat"
"1101112005";"Kelurahan/Desa";"Limau Saring"
"1101112006";"Kelurahan/Desa";"Beutong"
"1101112007";"Kelurahan/Desa";"Peuneulop"
"1101112008";"Kelurahan/Desa";"Gunung Rotan"
"1101112009";"Kelurahan/Desa";"Keumumu  Hilir"
"1101112010";"Kelurahan/Desa";"Keumumu Hulu"
"1101112011";"Kelurahan/Desa";"Keumumu Seberang"
"1101112012";"Kelurahan/Desa";"Sawang Indah"
"1101120000";"Kecamatan";"Labuhan Haji Barat"
"1101122001";"Kelurahan/Desa";"Tutong"
"1101122002";"Kelurahan/Desa";"Teungoh Iboh"
"1101122003";"Kelurahan/Desa";"Peulokan"
"1101122004";"Kelurahan/Desa";"Kuta Iboh"
"1101122005";"Kelurahan/Desa";"Ujung Padang"
"1101122006";"Kelurahan/Desa";"Blang Baru"
"1101122007";"Kelurahan/Desa";"Blang Poroh"
